audit_type,area,program,q_id,seq,qtype,question_text,default_answer,autonomy,look_for,notes
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_FairValueAssets,22,tailoring,Does the carrying amount of the security reflect factors that are not recognized in the joint venture's financial statements or fair values of assets that are materially different ,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_LagBetween,23,tailoring,Is there a time lag between the date of the entity's financial statements and those of the joint venture (no more than three months)?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_BeforeTheDate,24,tailoring,Are there subsequent events and transactions of the joint venture occurring after the date of the investee's financial statements but before the date of the joint venture auditor's,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_DerHedge,25,tailoring,Does the entity have any derivative instruments or hedging activities?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_InvestmentPool,26,tailoring,Does the entity operate an investment pool on behalf of itself and other entities?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_PoolManagement,27,tailoring,Is the entity an investor in a pool managed by a third party?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_RestrictedInvestments,28,tailoring,Are there restrictions on investments?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_RestrictedNATransfers,29,tailoring,Has there been any reclassification of Restricted Net Assets?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_AssetBacked,30,tailoring,Does the entity have any investments in asset-backed securities?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Endowment,31,tailoring,Does the entity have donor-restricted endowments?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_OtherInvestments,32,tailoring,Does the entity have “Other Investments”?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Programmatic,33,tailoring,"Does the entity engage in programmatic investments (in the form of loans, equity interests, or guarantees)?",,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Loans,34,tailoring,Does the entity have programmatic investments in the form of loans?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_EquityInterests,35,tailoring,Does the entity have programmatic investments in the form of equity interests?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_FairValueRules,36,tailoring,Are there investments in securities or derivative instruments that are valued based on Fair Value rules?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Components,37,tailoring,Does the entity have investments that are determined to be components of a group?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_SAS149,38,tailoring,Has SAS-149 been early implemented ?,,,,
NPO,INVEST,AUD-802,INVEST_TQ_TAILORING_Analytical,39,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,AR,AUD-803,AR_TQ_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,AR,AUD-803,AR_TQ_FinancialStatements,2,tailoring,Do the financial statements include any accounts receivable?,,,,
NPO,AR,AUD-803,AR_TQ_ConfirmToBeSent,3,tailoring,Do we plan on confirming receivables?,,,,
NPO,AR,AUD-803,AR_TQ_ConfirmNotOnPeriodEnd,4,tailoring,Do we plan on confirming receivables on a date other than the financial statement date?,,,,
NPO,AR,AUD-803,AR_TQ_SignificantSales,5,tailoring,Does the entity have significant sales transactions executed with related parties?,,,,
NPO,AR,AUD-803,AR_TQ_NotesReceivables,6,tailoring,Are notes receivable balances material to the overall financial statements or have specific risks been identified in notes receivable?,,,,
NPO,AR,AUD-803,AR_TQ_Fraud,7,tailoring,Was improper revenue recognition identified as a risk of material misstatement due to fraud?,,,,
NPO,AR,AUD-803,AR_TQ_PledgedReceivables,8,tailoring,"Are there any accounts or notes receivable balances that have been pledged, assigned, or discounted?",,,,
NPO,AR,AUD-803,AR_TQ_RelatedOrEmployees,9,tailoring,Does the entity have receivables from related parties or employees?,,,,
NPO,AR,AUD-803,AR_TQ_GreaterThanOneYear,10,tailoring,Does the entity have receivables with due dates greater than one year from the financial statement date?,,,,
NPO,AR,AUD-803,AR_TQ_NFPTransferred,11,tailoring,Were any receivables transferred during the audit period?,,,,
NPO,AR,AUD-803,AR_TQ_Transferred,12,tailoring,Were any receivables or future revenues sold or pledged during the audit period?,,,,
NPO,SPLITINTX,AUD-804,SPLITINTX_TQ_TAILORING_Analytical,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,SPLITINTX,AUD-804,SPLITINTX_TQ_TAILORING_CurrentYear,2,tailoring,Were any split-interest agreement initially recognized in the current year?,,,,
NPO,SPLITINTX,AUD-804,SPLITINTX_TQ_TAILORING_PriorYears,3,tailoring,Were there any trust agreements initially recognized in prior years or related trust distributions in the current year?,,,,
NPO,SPLITINTX,AUD-804,SPLITINTX_TQ_TAILORING_Trustee,4,tailoring,Is the entity a trustee or fiscal agent?,,,,
NPO,SPLITINTX,AUD-804,SPLITINTX_TQ_TAILORING_RealEstate,5,tailoring,Does the entity have life interest in real estate?,,,,
NPO,SPLITINTX,AUD-804,SPLITINTX_TQ_TAILORING_Revokable,6,tailoring,Are there any revocable agreements?,,,,
NPO,SPLITINTX,AUD-804,SPLITINTX_TQ_TAILORING_PooledIncome,7,tailoring,Does the entity have any pooled income funds and net income unitrusts?,,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_TAILORING_Analytical,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_NotProgramService,2,tailoring,Does the organization receive contributions and support from donors or grantors that are not program service fee revenues?,,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_Budget,3,tailoring,Does the entity have a budget?,,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_ServicesFacilitiesUtilities,4,tailoring,"Did the entity receive contributed services, facilities, or utilities?",,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_TAILORING_GIK,5,tailoring,Did the entity receive gifts in kind?,,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_FundRaising,6,tailoring,"Did the entity hold any special fund-raising events (such as awards dinners, special performances, including the sale of souvenirs or tokens commemorating the event) during the per",,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_FutureInterests,7,tailoring,"Has the entity received any donations that include future interests, such as life income or annuity gifts?",,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_Materials,8,tailoring,Did the entity receive any support in the form of donated materials?,,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_Services,9,tailoring,Did the entity receive any support in the form of donated services?,,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_SendConfirmations,10,tailoring,Does the auditor intend to send confirmation requests for significant contributions receivable for contributions or pledges?,,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_ConditionalPromisestoGive,11,tailoring,Did the entity receive any conditional promises to give?,,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_ProgramServiceFeeRevenue,12,tailoring,Does the organization receive program service fee revenues?,,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_ThirdParty,13,tailoring,Does the entity have program service revenues that are the result of third-party reimbursements?,,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_AgencyTransactions,14,tailoring,Did the entity have any agency transactions?,,,,
NPO,REVANDRECEIVABLESX,AUD-805,REVANDRECEIVABLESX_TQ_ImproperRecognition,15,tailoring,Was improper revenue recognition identified as a risk of material misstatement due to fraud?,,,,
NPO,INVENTORY,AUD-806,INVENTORY_TQ_TAILORING_Observation,1,tailoring,Do we intend to perform an inventory observation?,,,,
NPO,INVENTORY,AUD-806,INVENTORY_TQ_TAILORING_InventorDiffDate,2,tailoring,Was the inventory observation completed on a date other than the financial statement date?,,,,
NPO,INVENTORY,AUD-806,INVENTORY_TQ_TAILORING_Perpetual,3,tailoring,Does the entity maintain a perpetual inventory record?,,,,
NPO,INVENTORY,AUD-806,INVENTORY_TQ_TAILORING_Analytical,4,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,INVENTORY,AUD-806,INVENTORY_TQ_TAILORING_FIFO,5,tailoring,Does the entity use FIFO as a valuation method?,,,,
NPO,INVENTORY,AUD-806,INVENTORY_TQ_TAILORING_Manufact,6,tailoring,Does the entity manufacture finished goods?,,,,
NPO,INVENTORY,AUD-806,INVENTORY_TQ_TAILORING_CountInterm,7,tailoring,Does the entity perform the physical inventory count at an interim date?,,,,
NPO,INVENTORY,AUD-806,INVENTORY_TQ_TAILORING_OutsideInv,8,tailoring,Does entity have inventory at public warehouses or other outside locations?,,,,
NPO,INVENTORY,AUD-806,INVENTORY_TQ_TAILORING_InventPledge,9,tailoring,Did the client pledge any inventory during the current reporting period?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_CollectionAssets,1,tailoring,"Does the entity maintain collections of works of art, historical treasure or similar assets?",,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_Collections,2,tailoring,Does the entity have any capitalized collection items?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_RetroCap,3,tailoring,Has the entity used retrospective capitalization for collection items?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_NoncapitalizedCollection,4,tailoring,Does the entity have noncapitalized collections?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_PPBalMaterial,5,tailoring,"Are account balances for prepaid expenses, deferred charges, or other assets material to the overall financial statements?",,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_PPBalSpecRisk,6,tailoring,"Have specific risks been identified associated with account balances for prepaid expenses, deferred charges, or other assets?",,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_InsuranceBalMaterial,7,tailoring,Is the prepaid insurance balance material to the overall financial statements?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_PPDInsSpecRisk,8,tailoring,Have specific risks been identified associated with account balances for prepaid insurance?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_PPDPropBalMaterial,9,tailoring,Is the prepaid property tax balance material to the overall financial statements?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_PPDPropTaxSpecRisk,10,tailoring,Have specific risks been identified associated with account balances for prepaid property tax?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_CSVInsMaterial,11,tailoring,Is the cash surrender value balance of life insurance balance material to the overall financial statements?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_CSVInsSpecRisk,12,tailoring,Have specific risks been identified associated with account balances for cash surrender value balance of life insurance?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_OthPPBalMaterial,13,tailoring,"Are the other prepaid expenses, deferred charges, or other assets balance material to the overall financial statements?",,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_OthPPBalSpecRisk,14,tailoring,"Have specific risks been identified associated with account balances for other prepaid expenses, deferred charges, or other assets?",,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_DirectAd,15,tailoring,Does the entity have significant deferred advertising costs?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_MaterialDeposits,16,tailoring,Does the entity have material deposits or other similar assets?,,,,
NPO,PP,AUD-807,PP_TQ_TAILORING_AnalyticalProcedures,17,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,INTANG,AUD-808,INTANG_TQ_TAILORING_OtherIntAssetAmort,1,tailoring,Does the entity have intangible assets (other than goodwill) that are subject to amortization?,,,,
NPO,INTANG,AUD-808,INTANG_TQ_TAILORING_LTIntangOtherDisposed,2,tailoring,Did the entity dispose of any intangibles (other than goodwill) subject to amortization during the audit period?,,,,
NPO,INTANG,AUD-808,INTANG_TQ_TAILORING_AmortGoodwill,3,tailoring,Has the entity elected to amortize goodwill?,,,,
NPO,INTANG,AUD-808,INTANG_TQ_TAILORING_AmortGoodwillLessTen,4,tailoring,Has the entity elected to amortize goodwill over a period of less than 10 years?,,,,
NPO,INTANG,AUD-808,INTANG_TQ_TAILORING_GoodIntNot,5,tailoring,Does the entity have any goodwill or intangibles that were not tested in connection with the original business combination or other initial transaction?,,,,
NPO,INTANG,AUD-808,INTANG_TQ_TAILORING_Goodwill,6,tailoring,Does the entity have any goodwill or intangible assets not subject to amortization?,,,,
NPO,INTANG,AUD-808,INTANG_TQ_TAILORING_IntNotAmor,7,tailoring,Does the entity have any intangible assets not subject to amortization?,,,,
NPO,INTANG,AUD-808,INTANG_TQ_TAILORING_RecognizedGoodwill,8,tailoring,Has the entity recognized goodwill in the statement of financial position from a new acquisition during the period under audit?,,,,
NPO,INTANG,AUD-808,INTANG_TQ_TAILORING_Acquisition,9,tailoring,"Did the entity have an acquisition where the operations of the acquiree as part of the combined entity are predominantly supported by contributions and returns on investments, or w",,,,
NPO,INTANG,AUD-808,INTANG_TQ_TAILORING_Digital,10,tailoring,Does the entity have investments in digital/crypto assets?,,,,
NPO,INTANG,AUD-808,INTANG_TQ_TAILORING_DigitalCrypto,11,tailoring,Does the entity have digital/crypto assets held by a third party?,,,,
NPO,INTANG,AUD-808,INTANG_TQ_AnalyticalProcedures,12,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_PPEBalMaterial,1,tailoring,"Is the property, plant and equipment balance material to the overall financial statements?",,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_PPESpecRisks,2,tailoring,"Have specific risks been identified associated with account balances for property, plant and equipment?",,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_Donations,3,tailoring,Did the entity receive any donations of property or equipment?,,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_OwnedByOthers,4,tailoring,Does the entity use property and equipment owned by others?,,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_SellorAbandon,5,tailoring,Does the entity plan to sell or abandon property or is there property impaired?,,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_ReclassRestrict,6,tailoring,Were there any reclassifications of net assets with donor restrictions?,,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_Depreciation,7,tailoring,Is the depreciation expense material to the overall financial statements?,,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_DepreciationSpecRisks,8,tailoring,Have specific risks been identified associated with account balances for depreciations expense?,,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_RepMaintBalMaterial,9,tailoring,Is the repairs and maintenance balance material to the overall financial statements?,,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_RepMaintSpecRisks,10,tailoring,Have specific risks been identified associated with account balances for repairs and maintenance?,,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_Leases,11,tailoring,Does the entity have any leases?,,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_LongLivedAssets,12,tailoring,Does the entity have any long lived fixed assets that are classified as held for sale?,,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_LLARetire,13,tailoring,Does the entity have any obligations related to the retirement of long-lived assets?,,,,
NPO,PPE,AUD-809,PPE_TQ_TAILORING_AnalyticalProcedures,14,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,AP,AUD-810,AP_TQ_TAILORING_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,AP,AUD-810,AP_TQ_TAILORING_ConfirmAP,2,tailoring,Do we plan on confirming accounts payable?,,,,
NPO,AP,AUD-810,AP_TQ_TAILORING_SpecificTerms,3,tailoring,Does the client have any amounts included in trade accounts payable that have specified payment terms?,,,,
NPO,AP,AUD-810,AP_TQ_TAILORING_PledgedAP,4,tailoring,Does the client have any assets pledged as collateral for accounts payable?,,,,
NPO,AP,AUD-810,AP_TQ_TAILORING_Liabilities,5,tailoring,Does the entity have any liabilities related to deposits held for customers?,,,,
NPO,AP,AUD-810,AP_TQ_TAILORING_AccruedLiab,6,tailoring,Are other accrued liabilities balances or transactions material to the overall financial statements?,,,,
NPO,AP,AUD-810,AP_TQ_TAILORING_RiskAccrued,7,tailoring,Have specific risks been identified associated with account balances for other accrued liabilities?,,,,
NPO,AP,AUD-810,AP_TQ_TAILORING_defIncome,8,tailoring,Does the entity have any deferred income or other deferred credits that were material to the overall financial statements under audit?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_PayrollBalMaterial,1,tailoring,Are the payroll and other liabilities balances material to the overall financial statements?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_PayrollSpecRisks,2,tailoring,Have specific risks been identified associated with account balances for payroll and other liabilities?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_PayrollTaxMaterial,3,tailoring,Are accrued payroll and payroll taxes material to the overall financial statements?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_PayrollTaxSpecRisks,4,tailoring,Have specific risks been identified associated with account balances for accrued payroll and payroll taxes?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_CompAbsenceMaterial,5,tailoring,Are the accruals for compensated absences material to the overall financial statements?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_CompAbsenceSpecRisks,6,tailoring,Have specific risks been identified associated with account balances of accruals for compensated absences?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_CompAbsenceShortTerm,7,tailoring,Does the entity offer short term compensated absences benefits to its employees?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_EBPAccrualsBalMaterial,8,tailoring,Are the accruals for employee benefit plans balances material to the overall financial statements?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_EBPAccrualsSpecRisks,9,tailoring,Have specific risks been identified associated with the account balances for accruals for employee benefit plans?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_LongTermEB,10,tailoring,"Does the entity provide other long-term employee benefits (e.g., long-term compensated absences, sabbatical leave, long-term disability benefits, deferred compensation, etc.)?",,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_DefCompBalMaterial,11,tailoring,Do deferred compensation agreements exist and are balances material to the overall financial statements?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_DefCompSpecRisks,12,tailoring,Have specific risks been identified associated with account balances of accruals for deferred compensation?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_PostEmpBen,13,tailoring,"Are postemployment benefits (e.g., salary continuation, severance benefits, disability and health care benefits, and job training and counseling) provided by the entity and are acc",,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_RisksPostEmp,14,tailoring,Have specific risks been identified associated with account balances of accruals for postemployment benefits?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_AnalyticalProcedures,15,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,INCTAX,AUD-812,INCTAX_TQ_TAILORING_DeferredTax,1,tailoring,Does the entity have any deferred tax provisions and related deferred tax assets or liabilities?,,,,
NPO,INCTAX,AUD-812,INCTAX_TQ_TAILORING_AppropDocumentation,2,tailoring,Was the entity's documentation not appropriate or did the entity restrict the auditor's access to documentation of the calculation or contents of the entity's income tax accruals o,,,,
NPO,INCTAX,AUD-812,INCTAX_TQ_TAILORING_AdditionalDisclosure,3,tailoring,Does the entity have any uncertain tax position for which additional disclosure or possible adjustment to the financial statements may be required?,,,,
NPO,INCTAX,AUD-812,INCTAX_TQ_TAILORING_AnalyticalProcedures,4,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_MaturityDates,2,tailoring,Does the entity have any debt with maturity dates due within the next year?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_Covenants,3,tailoring,Does the entity have any debt obligations that contain restrictive covenants?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_Violations,4,tailoring,Did the auditor or management identify any covenant violations?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_DebtExtinquished,5,tailoring,Has the entity extinguished any debt instruments during the period under audit?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_TaxExemptFinancing,6,tailoring,Does the entity finance any part of its activities from the proceeds of tax-exempt bonds or other obligations issued through state or local financing authorities?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_Contributions,7,tailoring,Did the entity make any contributions?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_PromiseToGive,8,tailoring,Does the entity have any unconditional promises to give (contributions payable)?,,,,
NPO,EQUITY,AUD-814,EQUITY_TQ_TAILORING_DonorRestrictions,1,tailoring,Does the entity have any net assets with donor restrictions?,,,,
NPO,EQUITY,AUD-814,EQUITY_TQ_TAILORING_AnalyticalProcedures,2,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,OTHREV,AUD-815,OTHREV_TQ_TAILORING_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,OTHREV,AUD-815,OTHREV_TQ_TAILORING_ContributeFacilities,2,tailoring,Did the entity contribute the use of its facilities to another NFP?,,,,
NPO,OTHREV,AUD-815,OTHREV_TQ_TAILORING_ExpensesMaterial,3,tailoring,Are there expense accounts balances material to the overall financial statements?,,,,
NPO,OTHREV,AUD-815,OTHREV_TQ_TAILORING_ExpensesSpecRisk,4,tailoring,Have specific risks been identified associated with account balances for expenses?,,,,
NPO,OTHREV,AUD-815,OTHREV_TQ_TAILORING_FederalFundraising,5,tailoring,Is the entity a federated fund-raising entity?,,,,
NPO,RPTRNS2,AUD-817,RPTRNS2_TQ_RelatedPartyTrans,1,tailoring,Are there any related party transactions identified?,,,,
NPO,RPTRNS2,AUD-817,RPTRNS2_TQ_UnusualTrans,2,tailoring,Have we identified significant unusual transactions while performing applicable audit procedures?,,,,
NPO,RPTRNS2,AUD-817,RPTRNS2_TQ_RelatedPartyFS,3,tailoring,Have we identified related-party transactions that are required to be disclosed in the financial statements or are determined to be a significant risk?,,,,
NPO,RPTRNS2,AUD-817,RPTRNS2_TQ_AnalyticalProcedures,4,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_ThirdParty,1,tailoring,Did the entity retain the service of a third-party pricing agency?,,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_SpecialistEstFV,2,tailoring,Was a specialist engaged to estimate fair value?,,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_ImpendingTrans,3,tailoring,Does the entity plan to use an impending transaction as the basis for a fair value estimate?,,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_FVMeasureDiffDate,4,tailoring,Was the fair value measurement made as of a date that is different from the date that the entity is required to measure and report that information in its financial statements?,,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_CollateralImpFactor,5,tailoring,Is collateral an important factor in measuring the fair value of an investment or evaluating its carrying amount?,,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_AnalyticalProcedures,6,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
