audit_type,form,collection,node_key,label,kind,value_keys,notes
NPO,KBA-400,Scoping,Scoping.INVEST.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INVEST.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INVEST.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.INVEST,Investments relevant assertions,row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.INVEST,Investments significant disclosures,row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.INVEST,Investments risk-related specific risks,row,,
NPO,AUD-8xx,program,program.INVEST,Investments audit program (AUD-802),program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVEST,Investments - 502 relevant-assertion risk section,section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVEST.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVEST.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVEST.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVEST.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVEST.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVEST.UC,UC - Classification/Understandability,assertion,,
NPO,KBA-502,AssertionLevelRisk,AssertionLevelRisk.INVEST,Investments - 502 specific-risk (assertion-level) section,section,,
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.AR,Accounts Receivable / Revenue - audit area selected,area_select,AR,category=balance
NPO,KBA-400,Scoping,Scoping.AR,Accounts Receivable / Revenue scoping row,row,,
NPO,KBA-400,Scoping,Scoping.AR.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.AR.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.AR.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.AR.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.AR.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.AR.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.AR,Accounts Receivable / Revenue relevant assertions,row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.AR,Accounts Receivable / Revenue significant disclosures,row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.AR,Accounts Receivable / Revenue risk-related specific risks,row,,
NPO,AUD-8xx,program,program.AR,Accounts Receivable / Revenue audit program (AUD-803),program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AR,Accounts Receivable / Revenue - 502 relevant-assertion risk section,section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AR.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AR.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AR.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AR.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AR.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AR.UC,UC - Classification/Understandability,assertion,,
NPO,KBA-502,AssertionLevelRisk,AssertionLevelRisk.AR,Accounts Receivable / Revenue - 502 specific-risk (assertion-level) section,section,,
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.SPLITINTX,Split-Interest Agreements - audit area selected,area_select,SPLITINTX,category=balance
NPO,KBA-400,Scoping,Scoping.SPLITINTX,Split-Interest Agreements scoping row,row,,
NPO,KBA-400,Scoping,Scoping.SPLITINTX.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.SPLITINTX.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.SPLITINTX.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.SPLITINTX.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.SPLITINTX.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.SPLITINTX.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.SPLITINTX,Split-Interest Agreements relevant assertions,row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.SPLITINTX,Split-Interest Agreements significant disclosures,row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.SPLITINTX,Split-Interest Agreements risk-related specific risks,row,,
NPO,AUD-8xx,program,program.SPLITINTX,Split-Interest Agreements audit program (AUD-804),program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.SPLITINTX,Split-Interest Agreements - 502 relevant-assertion risk section,section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.SPLITINTX.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.SPLITINTX.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.SPLITINTX.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.SPLITINTX.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.SPLITINTX.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.SPLITINTX.UC,UC - Classification/Understandability,assertion,,
NPO,KBA-502,AssertionLevelRisk,AssertionLevelRisk.SPLITINTX,Split-Interest Agreements - 502 specific-risk (assertion-level) section,section,,
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.INVENTORY,Inventory & COGS - audit area selected,area_select,INVENTORY,category=balance
NPO,KBA-400,Scoping,Scoping.INVENTORY,Inventory & COGS scoping row,row,,
NPO,KBA-400,Scoping,Scoping.INVENTORY.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INVENTORY.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INVENTORY.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INVENTORY.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INVENTORY.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INVENTORY.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.INVENTORY,Inventory & COGS relevant assertions,row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.INVENTORY,Inventory & COGS significant disclosures,row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.INVENTORY,Inventory & COGS risk-related specific risks,row,,
NPO,AUD-8xx,program,program.INVENTORY,Inventory & COGS audit program (AUD-806),program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVENTORY,Inventory & COGS - 502 relevant-assertion risk section,section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVENTORY.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVENTORY.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVENTORY.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVENTORY.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVENTORY.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INVENTORY.UC,UC - Classification/Understandability,assertion,,
NPO,KBA-502,AssertionLevelRisk,AssertionLevelRisk.INVENTORY,Inventory & COGS - 502 specific-risk (assertion-level) section,section,,
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.REVANDRECEIVABLESX,"Contributions, Support, Program Rev - audit area selected",area_select,REVANDRECEIVABLESX,category=balance
NPO,KBA-400,Scoping,Scoping.REVANDRECEIVABLESX,"Contributions, Support, Program Rev scoping row",row,,
NPO,KBA-400,Scoping,Scoping.REVANDRECEIVABLESX.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.REVANDRECEIVABLESX.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.REVANDRECEIVABLESX.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.REVANDRECEIVABLESX.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.REVANDRECEIVABLESX.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.REVANDRECEIVABLESX.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.REVANDRECEIVABLESX,"Contributions, Support, Program Rev relevant assertions",row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.REVANDRECEIVABLESX,"Contributions, Support, Program Rev significant disclosures",row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.REVANDRECEIVABLESX,"Contributions, Support, Program Rev risk-related specific risks",row,,
NPO,AUD-8xx,program,program.REVANDRECEIVABLESX,"Contributions, Support, Program Rev audit program (AUD-805)",program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.REVANDRECEIVABLESX,"Contributions, Support, Program Rev - 502 relevant-assertion risk section",section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.REVANDRECEIVABLESX.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.REVANDRECEIVABLESX.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.REVANDRECEIVABLESX.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.REVANDRECEIVABLESX.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.REVANDRECEIVABLESX.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.REVANDRECEIVABLESX.UC,UC - Classification/Understandability,assertion,,
NPO,KBA-502,AssertionLevelRisk,AssertionLevelRisk.REVANDRECEIVABLESX,"Contributions, Support, Program Rev - 502 specific-risk (assertion-level) section",section,,
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.PP,Prepaids / Deferred / Other - audit area selected,area_select,PP,category=balance
NPO,KBA-400,Scoping,Scoping.PP,Prepaids / Deferred / Other scoping row,row,,
NPO,KBA-400,Scoping,Scoping.PP.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.PP.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.PP.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.PP.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.PP.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.PP.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.PP,Prepaids / Deferred / Other relevant assertions,row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.PP,Prepaids / Deferred / Other significant disclosures,row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.PP,Prepaids / Deferred / Other risk-related specific risks,row,,
NPO,AUD-8xx,program,program.PP,Prepaids / Deferred / Other audit program (AUD-807),program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PP,Prepaids / Deferred / Other - 502 relevant-assertion risk section,section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PP.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PP.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PP.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PP.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PP.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PP.UC,UC - Classification/Understandability,assertion,,
NPO,KBA-502,AssertionLevelRisk,AssertionLevelRisk.PP,Prepaids / Deferred / Other - 502 specific-risk (assertion-level) section,section,,
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.INTANG,Intangibles - audit area selected,area_select,INTANG,category=balance
NPO,KBA-400,Scoping,Scoping.INTANG,Intangibles scoping row,row,,
NPO,KBA-400,Scoping,Scoping.INTANG.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INTANG.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INTANG.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INTANG.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INTANG.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INTANG.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.INTANG,Intangibles relevant assertions,row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.INTANG,Intangibles significant disclosures,row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.INTANG,Intangibles risk-related specific risks,row,,
NPO,AUD-8xx,program,program.INTANG,Intangibles audit program (AUD-808),program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INTANG,Intangibles - 502 relevant-assertion risk section,section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INTANG.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INTANG.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INTANG.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INTANG.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INTANG.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INTANG.UC,UC - Classification/Understandability,assertion,,
NPO,KBA-502,AssertionLevelRisk,AssertionLevelRisk.INTANG,Intangibles - 502 specific-risk (assertion-level) section,section,,
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.PPE,Property & Equipment - audit area selected,area_select,PPE,category=balance
NPO,KBA-400,Scoping,Scoping.PPE,Property & Equipment scoping row,row,,
NPO,KBA-400,Scoping,Scoping.PPE.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.PPE.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.PPE.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.PPE.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.PPE.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.PPE.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.PPE,Property & Equipment relevant assertions,row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.PPE,Property & Equipment significant disclosures,row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.PPE,Property & Equipment risk-related specific risks,row,,
NPO,AUD-8xx,program,program.PPE,Property & Equipment audit program (AUD-809),program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PPE,Property & Equipment - 502 relevant-assertion risk section,section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PPE.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PPE.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PPE.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PPE.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PPE.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.PPE.UC,UC - Classification/Understandability,assertion,,
NPO,KBA-502,AssertionLevelRisk,AssertionLevelRisk.PPE,Property & Equipment - 502 specific-risk (assertion-level) section,section,,
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.AP,Accounts Payable & Purchases - audit area selected,area_select,AP,category=balance
NPO,KBA-400,Scoping,Scoping.AP,Accounts Payable & Purchases scoping row,row,,
NPO,KBA-400,Scoping,Scoping.AP.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.AP.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.AP.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.AP.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.AP.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.AP.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.AP,Accounts Payable & Purchases relevant assertions,row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.AP,Accounts Payable & Purchases significant disclosures,row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.AP,Accounts Payable & Purchases risk-related specific risks,row,,
NPO,AUD-8xx,program,program.AP,Accounts Payable & Purchases audit program (AUD-810),program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AP,Accounts Payable & Purchases - 502 relevant-assertion risk section,section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AP.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AP.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AP.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AP.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AP.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.AP.UC,UC - Classification/Understandability,assertion,,
NPO,KBA-502,AssertionLevelRisk,AssertionLevelRisk.AP,Accounts Payable & Purchases - 502 specific-risk (assertion-level) section,section,,
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.OL,Payroll & Other Liabilities - audit area selected,area_select,OL,category=balance
NPO,KBA-400,Scoping,Scoping.OL,Payroll & Other Liabilities scoping row,row,,
NPO,KBA-400,Scoping,Scoping.OL.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.OL.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.OL.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.OL.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.OL.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.OL.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.OL,Payroll & Other Liabilities relevant assertions,row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.OL,Payroll & Other Liabilities significant disclosures,row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.OL,Payroll & Other Liabilities risk-related specific risks,row,,
NPO,AUD-8xx,program,program.OL,Payroll & Other Liabilities audit program (AUD-811),program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.OL,Payroll & Other Liabilities - 502 relevant-assertion risk section,section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.OL.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.OL.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.OL.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.OL.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.OL.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.OL.UC,UC - Classification/Understandability,assertion,,
NPO,KBA-502,AssertionLevelRisk,AssertionLevelRisk.OL,Payroll & Other Liabilities - 502 specific-risk (assertion-level) section,section,,
NPO,AUD-100,OverAllTailoringQuestions,AuditAreas.INCTAX,Income Taxes / UBI - audit area selected,area_select,INCTAX,category=balance
NPO,KBA-400,Scoping,Scoping.INCTAX,Income Taxes / UBI scoping row,row,,
NPO,KBA-400,Scoping,Scoping.INCTAX.SigClassTans,Sig class of transactions?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INCTAX.MaterialAccount,Material/sig account?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INCTAX.SigDisclosure,Sig disclosure?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INCTAX.SigAcctEst,Sig accounting estimate?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INCTAX.SigFraudRisk,Sig fraud risk?,toggle,NOTDASH;DASH,
NPO,KBA-400,Scoping,Scoping.INCTAX.substantivetesting,Substantive testing planned?,toggle,NOTDASH;DASH,
NPO,KBA-400,AuditareaRelevantAssertions,AuditareaRelevantAssertions.INCTAX,Income Taxes / UBI relevant assertions,row,EO;RO;CO;AV;CU;UC,
NPO,KBA-400,SigDisclosures,SigDisclosures.INCTAX,Income Taxes / UBI significant disclosures,row,,
NPO,KBA-400,RiskRelatedSpecificrisks,RiskRelatedSpecificrisks.INCTAX,Income Taxes / UBI risk-related specific risks,row,,
NPO,AUD-8xx,program,program.INCTAX,Income Taxes / UBI audit program (AUD-812),program,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INCTAX,Income Taxes / UBI - 502 relevant-assertion risk section,section,,category=balance
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INCTAX.EO,EO - Existence/Occurrence,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INCTAX.RO,RO - Rights/Obligations,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INCTAX.CO,CO - Completeness,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INCTAX.AV,AV - Accuracy/Valuation,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INCTAX.CU,CU - Cutoff,assertion,,
NPO,KBA-502,RelevantAssertion,RelevantAssertion.INCTAX.UC,UC - Classification/Understandability,assertion,,
