audit_type,from_form,from_key,to_form,to_key,relation,trigger_value,notes
NPO,KBA-502,RelevantAssertion.SPLITINTX,KBA-502,RelevantAssertion.SPLITINTX.CO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.SPLITINTX,KBA-502,RelevantAssertion.SPLITINTX.AV,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.SPLITINTX,KBA-502,RelevantAssertion.SPLITINTX.CU,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.SPLITINTX,KBA-502,RelevantAssertion.SPLITINTX.UC,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-400,RiskRelatedSpecificrisks.SPLITINTX,KBA-502,AssertionLevelRisk.SPLITINTX,renders_section_client_side,,"parallel to RelevantAssertion; INFERRED, not isolated live"
NPO,AUD-100,AuditAreas.INVENTORY,KBA-400,Scoping.INVENTORY,spawns_scoping_row,area_selected,"row objectKey==area key; immediate, no submit"
NPO,KBA-400,Scoping.INVENTORY,KBA-400,Scoping.INVENTORY.SigClassTans,contains_toggle,,
NPO,KBA-400,Scoping.INVENTORY,KBA-400,Scoping.INVENTORY.MaterialAccount,contains_toggle,,
NPO,KBA-400,Scoping.INVENTORY,KBA-400,Scoping.INVENTORY.SigDisclosure,contains_toggle,,
NPO,KBA-400,Scoping.INVENTORY,KBA-400,Scoping.INVENTORY.SigAcctEst,contains_toggle,,
NPO,KBA-400,Scoping.INVENTORY,KBA-400,Scoping.INVENTORY.SigFraudRisk,contains_toggle,,
NPO,KBA-400,Scoping.INVENTORY,KBA-400,Scoping.INVENTORY.substantivetesting,contains_toggle,,
NPO,KBA-400,Scoping.INVENTORY.SigClassTans,KBA-400,AuditareaRelevantAssertions.INVENTORY,spawns_row,NOTDASH,isolated-confirmed OR trigger (NPO)
NPO,KBA-400,Scoping.INVENTORY.MaterialAccount,KBA-400,AuditareaRelevantAssertions.INVENTORY,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.INVENTORY.SigDisclosure,KBA-400,SigDisclosures.INVENTORY,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.INVENTORY.SigAcctEst,KBA-400,RiskRelatedSpecificrisks.INVENTORY,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.INVENTORY.SigFraudRisk,KBA-400,RiskRelatedSpecificrisks.INVENTORY,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.INVENTORY.substantivetesting,AUD-8xx,program.INVENTORY,recommends_program,NOTDASH,program-side; AUD-806
NPO,KBA-400,AuditareaRelevantAssertions.INVENTORY,KBA-502,RelevantAssertion.INVENTORY,renders_section_client_side,assertion_picked,CLIENT RENDER ONLY - 502 UI shows only KBA-400-picked assertions; nothing stored on 502. balance area; matches live-verified CASH/INVEST/AR pattern
NPO,KBA-502,RelevantAssertion.INVENTORY,KBA-502,RelevantAssertion.INVENTORY.EO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INVENTORY,KBA-502,RelevantAssertion.INVENTORY.RO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INVENTORY,KBA-502,RelevantAssertion.INVENTORY.CO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INVENTORY,KBA-502,RelevantAssertion.INVENTORY.AV,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INVENTORY,KBA-502,RelevantAssertion.INVENTORY.CU,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INVENTORY,KBA-502,RelevantAssertion.INVENTORY.UC,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-400,RiskRelatedSpecificrisks.INVENTORY,KBA-502,AssertionLevelRisk.INVENTORY,renders_section_client_side,,"parallel to RelevantAssertion; INFERRED, not isolated live"
NPO,AUD-100,AuditAreas.REVANDRECEIVABLESX,KBA-400,Scoping.REVANDRECEIVABLESX,spawns_scoping_row,area_selected,"row objectKey==area key; immediate, no submit"
NPO,KBA-400,Scoping.REVANDRECEIVABLESX,KBA-400,Scoping.REVANDRECEIVABLESX.SigClassTans,contains_toggle,,
NPO,KBA-400,Scoping.REVANDRECEIVABLESX,KBA-400,Scoping.REVANDRECEIVABLESX.MaterialAccount,contains_toggle,,
NPO,KBA-400,Scoping.REVANDRECEIVABLESX,KBA-400,Scoping.REVANDRECEIVABLESX.SigDisclosure,contains_toggle,,
NPO,KBA-400,Scoping.REVANDRECEIVABLESX,KBA-400,Scoping.REVANDRECEIVABLESX.SigAcctEst,contains_toggle,,
NPO,KBA-400,Scoping.REVANDRECEIVABLESX,KBA-400,Scoping.REVANDRECEIVABLESX.SigFraudRisk,contains_toggle,,
NPO,KBA-400,Scoping.REVANDRECEIVABLESX,KBA-400,Scoping.REVANDRECEIVABLESX.substantivetesting,contains_toggle,,
NPO,KBA-400,Scoping.REVANDRECEIVABLESX.SigClassTans,KBA-400,AuditareaRelevantAssertions.REVANDRECEIVABLESX,spawns_row,NOTDASH,isolated-confirmed OR trigger (NPO)
NPO,KBA-400,Scoping.REVANDRECEIVABLESX.MaterialAccount,KBA-400,AuditareaRelevantAssertions.REVANDRECEIVABLESX,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.REVANDRECEIVABLESX.SigDisclosure,KBA-400,SigDisclosures.REVANDRECEIVABLESX,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.REVANDRECEIVABLESX.SigAcctEst,KBA-400,RiskRelatedSpecificrisks.REVANDRECEIVABLESX,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.REVANDRECEIVABLESX.SigFraudRisk,KBA-400,RiskRelatedSpecificrisks.REVANDRECEIVABLESX,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.REVANDRECEIVABLESX.substantivetesting,AUD-8xx,program.REVANDRECEIVABLESX,recommends_program,NOTDASH,program-side; AUD-805
NPO,KBA-400,AuditareaRelevantAssertions.REVANDRECEIVABLESX,KBA-502,RelevantAssertion.REVANDRECEIVABLESX,renders_section_client_side,assertion_picked,CLIENT RENDER ONLY - 502 UI shows only KBA-400-picked assertions; nothing stored on 502. balance area; matches live-verified CASH/INVEST/AR pattern
NPO,KBA-502,RelevantAssertion.REVANDRECEIVABLESX,KBA-502,RelevantAssertion.REVANDRECEIVABLESX.EO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.REVANDRECEIVABLESX,KBA-502,RelevantAssertion.REVANDRECEIVABLESX.RO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.REVANDRECEIVABLESX,KBA-502,RelevantAssertion.REVANDRECEIVABLESX.CO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.REVANDRECEIVABLESX,KBA-502,RelevantAssertion.REVANDRECEIVABLESX.AV,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.REVANDRECEIVABLESX,KBA-502,RelevantAssertion.REVANDRECEIVABLESX.CU,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.REVANDRECEIVABLESX,KBA-502,RelevantAssertion.REVANDRECEIVABLESX.UC,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-400,RiskRelatedSpecificrisks.REVANDRECEIVABLESX,KBA-502,AssertionLevelRisk.REVANDRECEIVABLESX,renders_section_client_side,,"parallel to RelevantAssertion; INFERRED, not isolated live"
NPO,AUD-100,AuditAreas.PP,KBA-400,Scoping.PP,spawns_scoping_row,area_selected,"row objectKey==area key; immediate, no submit"
NPO,KBA-400,Scoping.PP,KBA-400,Scoping.PP.SigClassTans,contains_toggle,,
NPO,KBA-400,Scoping.PP,KBA-400,Scoping.PP.MaterialAccount,contains_toggle,,
NPO,KBA-400,Scoping.PP,KBA-400,Scoping.PP.SigDisclosure,contains_toggle,,
NPO,KBA-400,Scoping.PP,KBA-400,Scoping.PP.SigAcctEst,contains_toggle,,
NPO,KBA-400,Scoping.PP,KBA-400,Scoping.PP.SigFraudRisk,contains_toggle,,
NPO,KBA-400,Scoping.PP,KBA-400,Scoping.PP.substantivetesting,contains_toggle,,
NPO,KBA-400,Scoping.PP.SigClassTans,KBA-400,AuditareaRelevantAssertions.PP,spawns_row,NOTDASH,isolated-confirmed OR trigger (NPO)
NPO,KBA-400,Scoping.PP.MaterialAccount,KBA-400,AuditareaRelevantAssertions.PP,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.PP.SigDisclosure,KBA-400,SigDisclosures.PP,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.PP.SigAcctEst,KBA-400,RiskRelatedSpecificrisks.PP,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.PP.SigFraudRisk,KBA-400,RiskRelatedSpecificrisks.PP,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.PP.substantivetesting,AUD-8xx,program.PP,recommends_program,NOTDASH,program-side; AUD-807
NPO,KBA-400,AuditareaRelevantAssertions.PP,KBA-502,RelevantAssertion.PP,renders_section_client_side,assertion_picked,CLIENT RENDER ONLY - 502 UI shows only KBA-400-picked assertions; nothing stored on 502. balance area; matches live-verified CASH/INVEST/AR pattern
NPO,KBA-502,RelevantAssertion.PP,KBA-502,RelevantAssertion.PP.EO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.PP,KBA-502,RelevantAssertion.PP.RO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.PP,KBA-502,RelevantAssertion.PP.CO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.PP,KBA-502,RelevantAssertion.PP.AV,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.PP,KBA-502,RelevantAssertion.PP.CU,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.PP,KBA-502,RelevantAssertion.PP.UC,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-400,RiskRelatedSpecificrisks.PP,KBA-502,AssertionLevelRisk.PP,renders_section_client_side,,"parallel to RelevantAssertion; INFERRED, not isolated live"
NPO,AUD-100,AuditAreas.INTANG,KBA-400,Scoping.INTANG,spawns_scoping_row,area_selected,"row objectKey==area key; immediate, no submit"
NPO,KBA-400,Scoping.INTANG,KBA-400,Scoping.INTANG.SigClassTans,contains_toggle,,
NPO,KBA-400,Scoping.INTANG,KBA-400,Scoping.INTANG.MaterialAccount,contains_toggle,,
NPO,KBA-400,Scoping.INTANG,KBA-400,Scoping.INTANG.SigDisclosure,contains_toggle,,
NPO,KBA-400,Scoping.INTANG,KBA-400,Scoping.INTANG.SigAcctEst,contains_toggle,,
NPO,KBA-400,Scoping.INTANG,KBA-400,Scoping.INTANG.SigFraudRisk,contains_toggle,,
NPO,KBA-400,Scoping.INTANG,KBA-400,Scoping.INTANG.substantivetesting,contains_toggle,,
NPO,KBA-400,Scoping.INTANG.SigClassTans,KBA-400,AuditareaRelevantAssertions.INTANG,spawns_row,NOTDASH,isolated-confirmed OR trigger (NPO)
NPO,KBA-400,Scoping.INTANG.MaterialAccount,KBA-400,AuditareaRelevantAssertions.INTANG,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.INTANG.SigDisclosure,KBA-400,SigDisclosures.INTANG,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.INTANG.SigAcctEst,KBA-400,RiskRelatedSpecificrisks.INTANG,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.INTANG.SigFraudRisk,KBA-400,RiskRelatedSpecificrisks.INTANG,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.INTANG.substantivetesting,AUD-8xx,program.INTANG,recommends_program,NOTDASH,program-side; AUD-808
NPO,KBA-400,AuditareaRelevantAssertions.INTANG,KBA-502,RelevantAssertion.INTANG,renders_section_client_side,assertion_picked,CLIENT RENDER ONLY - 502 UI shows only KBA-400-picked assertions; nothing stored on 502. balance area; matches live-verified CASH/INVEST/AR pattern
NPO,KBA-502,RelevantAssertion.INTANG,KBA-502,RelevantAssertion.INTANG.EO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INTANG,KBA-502,RelevantAssertion.INTANG.RO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INTANG,KBA-502,RelevantAssertion.INTANG.CO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INTANG,KBA-502,RelevantAssertion.INTANG.AV,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INTANG,KBA-502,RelevantAssertion.INTANG.CU,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.INTANG,KBA-502,RelevantAssertion.INTANG.UC,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-400,RiskRelatedSpecificrisks.INTANG,KBA-502,AssertionLevelRisk.INTANG,renders_section_client_side,,"parallel to RelevantAssertion; INFERRED, not isolated live"
NPO,AUD-100,AuditAreas.PPE,KBA-400,Scoping.PPE,spawns_scoping_row,area_selected,"row objectKey==area key; immediate, no submit"
NPO,KBA-400,Scoping.PPE,KBA-400,Scoping.PPE.SigClassTans,contains_toggle,,
NPO,KBA-400,Scoping.PPE,KBA-400,Scoping.PPE.MaterialAccount,contains_toggle,,
NPO,KBA-400,Scoping.PPE,KBA-400,Scoping.PPE.SigDisclosure,contains_toggle,,
NPO,KBA-400,Scoping.PPE,KBA-400,Scoping.PPE.SigAcctEst,contains_toggle,,
NPO,KBA-400,Scoping.PPE,KBA-400,Scoping.PPE.SigFraudRisk,contains_toggle,,
NPO,KBA-400,Scoping.PPE,KBA-400,Scoping.PPE.substantivetesting,contains_toggle,,
NPO,KBA-400,Scoping.PPE.SigClassTans,KBA-400,AuditareaRelevantAssertions.PPE,spawns_row,NOTDASH,isolated-confirmed OR trigger (NPO)
NPO,KBA-400,Scoping.PPE.MaterialAccount,KBA-400,AuditareaRelevantAssertions.PPE,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.PPE.SigDisclosure,KBA-400,SigDisclosures.PPE,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.PPE.SigAcctEst,KBA-400,RiskRelatedSpecificrisks.PPE,spawns_row,NOTDASH,
NPO,KBA-400,Scoping.PPE.SigFraudRisk,KBA-400,RiskRelatedSpecificrisks.PPE,co_feeds_row,NOTDASH,OR-trigger; unisolated
NPO,KBA-400,Scoping.PPE.substantivetesting,AUD-8xx,program.PPE,recommends_program,NOTDASH,program-side; AUD-809
NPO,KBA-400,AuditareaRelevantAssertions.PPE,KBA-502,RelevantAssertion.PPE,renders_section_client_side,assertion_picked,CLIENT RENDER ONLY - 502 UI shows only KBA-400-picked assertions; nothing stored on 502. balance area; matches live-verified CASH/INVEST/AR pattern
NPO,KBA-502,RelevantAssertion.PPE,KBA-502,RelevantAssertion.PPE.EO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.PPE,KBA-502,RelevantAssertion.PPE.RO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.PPE,KBA-502,RelevantAssertion.PPE.CO,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
NPO,KBA-502,RelevantAssertion.PPE,KBA-502,RelevantAssertion.PPE.AV,assertion_row,shown_if_picked,write surface: selected/ir/cr/rmm on 502
